scenario,chargers_added,analyzed_land_km2,coverage_5_pct,covered_5_km2,coverage_10_pct,covered_10_km2,coverage_15_pct,covered_15_km2,mean_min_capped30,median_min_capped30,p90_min_capped30,unreachable_pct,population_est_total,population_coverage_5_pct,covered_population_5_est,population_coverage_10_pct,covered_population_10_est,population_coverage_15_pct,covered_population_15_est,population_mean_min_capped30,population_median_min_capped30,population_p90_min_capped30,selected_candidate_ids,solver_status
baseline,0,1988.8924793352278,3.908616339720366,77.73817642676622,16.32085486402755,324.60425495386164,33.28752641862739,662.0531094968071,20.278979846262345,20.557886872212347,30.0,8.805863490163317,2647408.2902907273,29.800288878937327,788935.3183115723,58.765640564850784,1555766.4401563103,84.06598903827825,2225569.9631142723,9.469091824963272,8.68298441493443,17.677077870430484,,
optimal_1,1,1988.8924793352278,4.8853972091023685,97.16529767749012,20.45846491286854,406.89687003947876,38.35438108816058,762.8274009579986,19.765328535309795,20.484320517495295,30.0,8.805863490163317,2647408.2902907273,31.037540275409807,821690.4143535227,63.9183808747683,1692180.5142982188,90.44441944079303,2394433.058380873,8.791836549665723,8.26856896605356,14.824276821965709,CAND-066,scipy_milp_status_0
optimal_2,2,1988.8924793352278,5.835090297557859,116.05367209054782,23.750337317584314,472.36867272618247,46.23422694915744,919.5490626705734,18.449212859214338,16.825289159443944,30.0,8.692786689065045,2647408.2902907273,31.761846127447033,840865.747527417,64.94658993229852,1719401.406128794,92.14293159959085,2439399.6100844825,8.499930820641739,8.185665014868508,14.353897309615524,CAND-031;CAND-066,scipy_milp_status_0
optimal_3,3,1988.8924793352278,6.796680740415401,135.1786720905478,27.17151933073447,540.4123044900955,52.55461069692226,1045.254699694994,17.267554698935776,14.489556877647374,30.0,8.692786689065045,2647408.2902907273,32.22800935365494,853206.9914243319,65.9273809599649,1745366.9491056616,93.81748941335242,2483731.9924717173,8.182663448402305,8.06558820388135,13.945930339986814,CAND-031;CAND-061;CAND-066,scipy_milp_status_0
optimal_4,4,1988.8924793352278,7.226628470204387,143.72987015339348,29.262068545902547,581.991080607375,54.77899228821002,1089.4952578758334,17.02335656013585,13.989120483398438,30.0,8.692786689065045,2647408.2902907273,32.53959597293139,861455.9614144932,67.96410561488551,1799287.3664704247,95.25133168104928,2521691.6515364163,7.984385135144207,7.903663359073002,13.25634215215177,CAND-006;CAND-031;CAND-061;CAND-066,scipy_milp_status_0
optimal_5,5,1988.8924793352278,7.601880873378362,151.1932369786454,30.36339112094619,603.895202475639,55.40163206964416,1101.8788936621263,16.904680701550074,13.816702213103323,30.0,8.692786689065045,2647408.2902907273,33.34189419063191,882696.0709427516,70.2561881881678,1859968.150535809,96.60672473202136,2557574.439533876,7.725834917346843,7.636795411329982,12.841746101324004,CAND-006;CAND-022;CAND-031;CAND-061;CAND-066,scipy_milp_status_0
optimal_6,6,1988.8924793352278,8.367744754880878,166.42544611979378,32.73944950818386,651.152449044023,57.91802434810805,1151.927230439067,16.584643238800478,13.108067796098782,30.0,8.692786689065045,2647408.2902907273,35.16343288420426,930919.6373272394,73.42320482403926,1943812.0115087566,97.44473039879203,2579759.8710290687,7.4168610606201115,7.298464470223217,12.38219910196547,CAND-006;CAND-012;CAND-016;CAND-022;CAND-031;CAND-040,scipy_milp_status_0
optimal_7,7,1988.8924793352278,9.158837091811767,182.15942211360954,35.08971324889217,697.8966678275133,60.091415707595736,1195.1536477344393,16.29800366029924,12.509814453125,30.0,8.692786689065045,2647408.2902907273,35.83261311741427,948635.570298228,74.69608936781219,1977510.4624464302,98.12737859734256,2597832.3560310155,7.298544309454928,7.178521219889323,12.202329007727512,CAND-006;CAND-007;CAND-012;CAND-016;CAND-022;CAND-031;CAND-040,scipy_milp_status_0
optimal_8,8,1988.8924793352278,9.752760600635547,193.97192211360957,37.95821004959849,754.9479849667331,64.76684243236974,1288.142858240299,15.698919821232069,11.875965771094403,30.0,8.692786689065045,2647408.2902907273,35.83441705937325,948683.3280072021,75.0806112747097,1987690.3272876188,98.5897337774813,2610072.7854005974,7.224913973253597,7.17757434201479,12.108966064453124,CAND-003;CAND-006;CAND-007;CAND-012;CAND-016;CAND-022;CAND-031;CAND-040,scipy_milp_status_0
optimal_9,9,1988.8924793352278,10.457364758566648,207.9857412197846,40.49556785372396,805.41330350681,66.21205099524643,1316.886502658062,15.32148128321771,11.378904215494792,30.0,8.692786689065045,2647408.2902907273,36.4317816086439,964498.0066078511,76.16788011380073,2016474.772671463,98.88362097479433,2617853.1794263655,7.0982249667380835,7.07635597688977,11.899411010742188,CAND-003;CAND-004;CAND-006;CAND-007;CAND-012;CAND-016;CAND-022;CAND-031;CAND-064,scipy_milp_status_0
after_recommendations,10,1988.8924793352278,10.699963552807526,212.81077039339934,41.583047400176554,827.0421024205144,67.824937116379,1348.9650734215097,15.071790433960313,11.160245768229167,30.0,8.767835811716953,2647408.2902907273,36.08738968785326,955380.5463457482,76.67132237457109,2029802.9448199242,99.16751276374454,2625368.954182488,7.061873134377373,7.102961772809009,11.830306785014113,CAND-003;CAND-004;CAND-005;CAND-006;CAND-007;CAND-012;CAND-016;CAND-018;CAND-022;CAND-064,scipy_milp_status_0
